Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Sherwood Care Facilities Inc,0,PO Box 3008 Montrose  MI 48457 ,38-3015872,sherwoodcare@comcast.net,www.sherwoodcare.org,810-659-5421,Human Service,Established in 1986  Sherwood Care Facilities  Inc. is licensed through the State of Michigan. We have one home in Genesee County located in Flushing. We are licensed for male and female clients  eighteen and older  in our home. Sherwood Care Facilities  Inc. is licensed through the state of Michigan for basic care. We are not barrier free but walkers are permitted. We have private and semi-private rooms available. Our facility is staffed 24/7. ,TO PROVIDE CONTINUED QUALITY CARE FOR PERSONS WITH DEVELOPMENTAL DISABILITIES WHO RESIDE IN A RESIDENTIAL SETTING IN THE COMMUNITY,NA,Photo save,5503 Duffield Rd. Flushing  MI. 48433,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Kids Early Education Zone Inc,0,3388 N US HIGHWAY 27 SAINT JOHNS  MI 48879 ,38-3376515,kidszoneecs@gmail.com,www.keezpreschool.com,989-224-4957,Human Service,KEEZ Preschool is a Great Start Readiness Program Preschool.  GSRP is funded through the State of Michigan. We are also partnered with Head Start.,Kids Early Education Zone Preschool strives to provide a positive  nurturing environment for children  their families  and staff. Age appropriate activities are planned for classrooms by teams of trained and experienced teachers. The program is designed to provide children with a variety of individual and group experiences with the mission of partnering with parents to develop skills and abilities that further school readiness. Kids Early Education Zone Preschool emphasizes the social  emotional  physical  language  cognitive  literacy  and mathematics development of children and works to create an atmosphere of sharing and cooperation. ,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
RECOVERYPARK,0,5470 Chene St. Detroit  MI 48211 USA,27-3051022,gwozniak@recoverypark.org,www.recoverypark.org,313-737-3710,Human Service,RecoveryPark is an independent  501(c)(3) nonprofit established in 2010 to help revitalize Detroit through job creation for those with barriers to employment (primarily recovering addicts and returning citizens). ,"RecoveryParks mission is to create jobs for people with barriers to employment. Our development strategy is to leverage the citys underutilized assets: a large workforce  abundant open space  access to fresh water  and extensive infrastructure. Our implementation strategy is to launch our for-profit food business  RecoveryPark Farms. At RecoveryPark Farms  we grow a highly curated variety of vegetables  leafy greens and herbs. And we do this through a number of proven agriculture techniques  ranging from high tunnel to glass greenhouses  and from soil-based growing systems to hydroponics. RecoveryPark espouses triple bottom line principles ???
economic stability  social awareness and environmental stewardship. By putting Detroits residents and resources to work  we will significantly reduce costs to society. ",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/RecoveryParkDetroit,RecoveryPark does not have any upcoming events.,NA,NA,28/2/2018,
Lift Foundation,0,2725 AIRVIEW BLVD STE 302 PORTAGE  MI 49002 ,38-1845192,NA,WWW.THELIFTFOUNDATION.ORG,269-350-2019,Human Service,Non profit organization,PROVIDE HOUSING FOR LOW INCOME FAMILIES,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Federation of Youth Services,0,548 E. Grand Blvd. Detroit  MI 48207 USA,38-1860313,ursula.ahart@federationyouth.org,www.federationofyouthservices.org,313-571-4707,Human Service,Wix is a leading global software platform for small businesses to operate online with millions of registered users in 190 countries. Wix was founded on the belief that the Internet should be accessible to everyone to develop  create and contribute. Through free and premium subscriptions  Wixs powerful technology empowers millions of businesses  organizations  professionals and individuals to take their businesses  brands and workflow online. Wix ADI  the Wix Editor and a highly curated App Market enable users to build and manage a fully integrated and dynamic digital presence.,The organization is a licenses child care agency which provides services to children and youth between the ages of twelvel2 and nineteenl9 on a non-sectarian basis,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/wix,NA,NA,NA,28/2/2018,
Montmorency County Commission On Aging,0,PO BOX 788 ATLANTA   MI 49709 ,38-2046898,info@atlantamichiganchamber.com,www.atlantamichiganchamber.com,989-785-2580,Human Service,To continue to lead Atlanta through focused partnerships and memberships with community clubs, organizations and Local Government and to continue to create an exceptional environment to sustain employment and attract future employers to provide greater opportunities for all our citizens of Atlanta.,TO PROVIDE SERVICES FOR THE PURPOSE OF IMPROVING THE QUALITY OF LIFE FOR SENIOR CITIZENS MONTMORENCY COUNTY,NA,12443 State St PO Box 410 Atlanta  Michigan,989-785-3400,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/atlantamichamberofcommerce/about/?ref=page_internal,Photo save,Atlanta MI Chamber of Commerce does not have any upcoming events.,NA,NA,
Child Abuse Council of Muskegon County,0,1781 Peck Street Muskegon  MI 49441 ,38-2195091,kcollee@childabusecouncil.org,www.childabusecouncil.org,231-728-6410,Human Service,The mission of the Child Abuse Council of Muskegon County is to prevent and treat child abuse and neglect through education  child advocacy and community collaboration. Our vision is to eradicate abuse.,Through our programs we serve over 21 000 children each year in Muskegon County. The end of child abuse isnt a goal or a destination.  Its a process and a journey that were committed to  every step of the way.  Were the Child Abuse Council of Muskegon County and were committed to ending child abuse in our community. We know that child abuse is bigger than any one person  group or organization.  That is why weve taken a collaborative approach.  We work with teachers and police officers  doctors and therapists  social workers and parents.  We work with children.  Were working to prevent child abuse before it starts  to help children who are being abused  and to help heal victims of abuse.,NA,Photo save,NA,855-444-3911,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/groups/125755025351/about/,Blue Ribbon 5K: No Excuse for Abuse  Apr 28  2018  8am to 8:45 am,Tee Up FORE Kids Golf Outing  May 24  2018  12pm to 6pm,Mona Lake Boat Poker Run  Aug 12  2018,28/2/2018,
Child & Family Services of Northeast Michigan,0,1044 US 23 North Alpena  MI 49707-1250 USA,38-2118104,email@cfsnemi.org,www.cfsnemi.org,989-356-4567,Human Service,We are a local non-profit organization that provides foster care services to children and their families in Northern Michigan. We also operate Day One.,CFS offers a variety of services including Adoption  Specialized Treatment Foster Care  and Foster Care Licensing. We also offer Day One  a prevention program in Alcona County.,NA,Photo save,NA,855-268-6558,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/cfsnemi.org/,4th Annual Walk Me Home 5K Walk/Run  June 10th ??? 9 a.m. at Duck Park  Chisholm & Long Rapids Rd.  Alpena MI,NA,NA,28/2/2018,
Helpers of Holland Home,0,2100 Raybrook St Ste 300  Grand Rapids  MI 49546,27-1062997,john_norden@hollandhome.org,www.hollandhome.org,616-235-5034,Human Service,Serving Grand Rapids since 1892. Holland Home is called by God to be of service to others  and  in our efforts  we will constantly seek God???s guidance.,We will provide services with love  compassion  and excellence  and  through our efforts  our residents and clients will feel love  comfort  and peace of mind. We will provide a broad and flexible range of services and housing options that are tailored to meet the needs of individuals both within our facilities and in the community.,Our volunteers bring joy to our residents whether it is in our manors  at our hospice residence or in the community.  Whatever your special gift  we welcome it and will find a way for you to share it,Photo save,2772 Pfeiffer Woods Dr Grand Rapids  MI 49512,616-235-5000,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/hollandhome,Holland Home does not have any upcoming events.,NA,NA,28/2/2018,
Plymouth Opportunity House A Non- Profit Housing Corporation,0,14147 FARMINGTON RD LIVONIA  MI 48154 ,38-6114057,NA,WWW.cocliving.com,734-422-1020,Human Service,The COC Board of Directors  administrative leadership  and staff are committed to effectively guiding and assisting persons with developmental disabilities to maintain equality  integrity  and respect throughout their lives.,TO PROVIDE QUALITY HOUSING AND COMPREHENSIVE SUPPORT FOR PERSONS WITH DEVELOPMENTAL DISABILITIES AND TO PROVIDE ASSISTANCE AND ADVOCACY TO HELP THEM BECOME INDEPENDENT CITIZENS INVOLVED IN THEIR COMMUNITY.,As individuals age  COC often finds itself self-funding the extra staff and services they need. As such  fundraising is necessary to ensure that COC has the resources we need to properly serve each person we support. COC is a non-profit  501(c) (3) organization providing support to people with mental retardation and other developmental disabilities.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Community-Opportunity-Center/139919749396764,NA,NA,NA,28/2/2018,
Dream Centers of Michigan,0,6600 ROCHESTER RD TROY  MI 48085 ,47-1103865,info@dcofmi.org,WWW.DCOFMI.ORG,248-221-5747,Human Service,The Dream Centers of Michigan began with a moment of inspiration. Some people at Woodside Bible Church wanted to help the hurting people of the city of Pontiac. They considered launching a campus and doing some outreach.,VOLUNTEER DRIVEN  NON-PROFIT ORGANIZATION SERVING THE HOMELESS  LOW-INCOME  AT-RISK YOUTH AND STRUGGLING FAMILIES BY PROVIDING RESOURCES AND OPPORTUNITIES TO HELP THEM REALIZE THEIR DREAM OF LIVING A SELF- SUFFICIENT LIFE.,Thank you for your interest in volunteering with the Dream Centers. We appreciate you taking the time to fill out this brief profile. The purpose of this Interest Profile is to help us determine where and how to best utilize your skills so your experience will be meaningful and rewarding. You will be contacted to discuss volunteer opportunities once this form is received.,Photo save,NA,248-879-8533,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/dreamcentersofmichigan/,NA,NA,NA,28/2/2018,
Michigan Share Corporation,0,PO Box 404 St Clr Shores   MI 48080 ,38-2208829,NA,NA,586-453-8676,Human Service,NA,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Innovative Adult Foster Care Inc,0,16510 13 MILE ROAD ROSEVILLE  MI 48066 ,38-3325455,NA,NA,586-778-7226,Human Service,INNOVATIVE ADULT FOSTER CARE  INC. HAS THE PRIMARY PURPOSE OF PROVIDING ROOM AND BOARD TO INDIVIDUALS WHO ARE MENTALLY RETARDED OR OTHERWISE MENTALLY INCAPACITATED.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Rosebush Interfaith Retirement Community,0,4210 E ROSEBUSH RD ROSEBUSH   MI 48878 ,38-3544655,NA,www.PVM.org,989-433-0150,Human Service,Presbyterian Villages of Michigan (PVM) is a leader in quality senior living  housing and services.,The mission of Presbyterian Villages of Michigan  guided by our Christian heritage  is to serve older adults of all faiths and to create new possibilities for quality senior living.,Your gift will help provide financial assistance to seniors who have outlived their resources  so they are always able to call PVM their home. Benevolence also supports residents who have an emergency financial need including  food  prescription assistance  utility bills and so much more. This fund supports the areas of greatest need throughout the organization and gives PVM the flexibility to address immediate needs as they arise.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/presbyterianvillagesmi,Presbyterian Villages of Michigan does not have any upcoming events.,NA,NA,28/2/2018,
Lakeridge Village Inc,0,15941 FAIRFIELD DETROIT  MI 48238 ,20-4986314,info@lakeridgvillage.org,www.lakeridgevillage.org,313-345-4310,Human Service,Lakeridge Village is a non-profit organization founded to provide safe  supportive and affordable housing. Over the past three years we have helped over 450 people secure independent housing and income. Many have reunited with their families after years of homelessness. Lakeridge Village has become a promising force for neighborhood  individual renewal and rebirth.,The Mission of Lakendge Village Inc. a non profit 501c 3 organization  is to provide best practice methods of care with quality mental health and substance abuse treatment as well as safe  supportive  affordable  drug and alcohol free housing to co-occumno  men  women and families in the metropolitan Detroit area.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Lakeridge-Village-Inc-281115688587454/about/?ref=page_internal,NA,NA,NA,28/2/2018,
Angel Land Child Care & Parent Centers,0,1505 WOODWARD AVE DETROIT  MI 48226 ,38-3312467,NA,NA,313-894-4331,Human Service,Non profit organization,To provide quality child care and child development for infants and children,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Freedom House,0,2630 W Lafayette Blvd Detroit  MI 48216 USA,38-2487626,ddrennan@freedomhousedetroit.org,www.freedomhousedetroit.org,313-964-4320,Human Service,In 1983  horrified by reports of political torture and murder in El Salvador  a group of Detroiters came together to help refugees who had fled that country and were arriving in the city in droves due to its proximity to Canada. Existing homeless shelters were unable to meet the particular legal  medical  language and resettlement needs posed by this refugee population. Residents of Windsor  Ontario  with the same concerns joined with the U.S. group to form the Detroit/Windsor Refugee Coalition  specifically for refugees and asylum seekers.,Freedom House Detroit is a temporary home for indigent survivors of persecution from around the world who are seeking asylum in the United States and Canada. Our mission is to uphold a fundamental American principle  one inscribed on the base of the Statue of Liberty  providing safety for those ???yearning to breathe free.??? In 2012 we became a formal partner in the Northern Tier Anti-Trafficking Consortium servicing victims of human trafficking. Guided by our belief that all persons deserve to live free from oppression and to be treated with justice  compassion and dignity  we offer a continuum of care and services to our residents as well as to other refugees in need. We advocate for systemic change that more fully recognizes the rights of asylum seekers.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FreedomHouseDetroit,Freedom House Detroit does not have any upcoming events.,NA,NA,28/2/2018,
Lakeshore Employer Resource Network of Mason County Inc,0,108 S RATH AVE STE 201 LUDINGTON  MI 49431 ,47-2066597,NA,NA,231-843-8593,Human Service,Non profit organization,TO IMPROVE WORKPLACE ATTRACTION  PRODUCTIVITY  RETENTION  AND FINANCIAL STABILITY FOR EMPLOYEES OF MEMBER EMPLOYERS.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Family Counseling & Childrens Service of Lenawee County,0,220 North Main St Adrian  MI 49221 USA,38-1660960,laura.pipis@fccsoflenawee.org,www.fccsoflenawee.org,517-265-5352,Human Service,The content discussed in all meetings  interviews  discussions will be held and remain completely confidential by all agency personnel. Our organization holds YOUR privacy to the highest regard and will NEVER release any info to any person or company unless given written consent to do so. Current law allows information regarding a client to be released if they pose danger to themselves or others and requires the reporting of suspected child abuse or neglect.,TO HELP INDIVIDUALS AND FAMILIES MAKE POSITIVE CHANGES IN THEIR LIVES.,valunteer apportunity are Overnight client advocate assistant  Childcare assistance during group  tutoring/menotoring  cleaning and organizing  Game night group  Jewelery making group,Photo save,NA,517-265-6776,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FCCSofLen/about/?ref=page_internal,Family Counseling & Childrens Services does not have any upcoming events.,NA,NA,03/12/2018,
Restore the Restorers,0,8100 MACOMB ST GROSSE ILE  MI 48138 ,81-0830123,gbarton@genesisfinancial.com,www.genesisfinancial.com,734-362-0175,Human Service,Genesis Financial Group  Inc. is a full-service professional real estate firm with more than two decades of consulting  development  acquisition  asset management and property management experience.  Genesis??? investment focus is based solely on the Federal Government Agency real estate market.  Over the past twenty years  Genesis and its affiliates have sponsored a total of 30 Real Estate Trust programs both public and private  each consisting of a large pool of Government leased facilities located nation-wide.,The general objective of Genesis??? investment programs is to provide consistent  periodic cash distributions to its investors by acquiring single-tenant government office properties throughout the country with potential for long-term appreciation.  Genesis??? sponsored investments have generated current income levels between eight and ten percent over the past ten years. With over 20 years of experience in Federal government agency real estate  Genesis Financial Group  Inc. has established a tradition of excellence.  Now owning and/or managing over 45 single-tenant government properties nationwide  Genesis offers a full array of real estate development  management and investment services.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Genesis-Financial-Group/122078337850658,NA,NA,NA,03/12/2018,
John George Home Foundation ,0,1501 E GANSON ST JACKSON  MI 49202 ,46-1225558,NA,www.johngeorgehome.com,517-783-4034,Human Service,Since 1949  John George Home has been providing a safe and independent living environment for elderly gentlemen. Our residents enjoy the freedom to come and go as they please  with the comfort of knowing that our professional staff is there for them 24 hours a day. John George Home is a privately owned  non-profit and licensed home for the aged. Our Residents enjoy a true feeling of home.,THE PURPOSE OF THE FOUNDATION IS TO SOLICIT  RECEIVE  AND ADMINISTER FUNDS FOR THE BENEFIT OF JOHN GEORGE INC.  EIN 38-1347563  A 501(C)(3) ENTITY.,Volunteer Opportunities (Daily  Weekly  Seasonal)  General Maintenance  Housekeeping / Dietary Aide  Services  Visiting With Residents  Weekly Bingo (all year)  Exercise (Weekly)  Croquet (Summer)  Bean Bag Toss (Summer)  Picnics (Summer)  Tigers/Lugnuts (Summer)  Deer Farm Visits (Summer)  Planting Flowers (Summer)  Reading Program (All Year)  Church Services (Weekly)  Trivia (All Year)  Ice Cream Socials (All Year)  Dances And Parties (All Year)  Holiday Events (Monthly)  Individual Birthday  Celebrations  AA Groups  Euchre And Poker Tournaments,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/johngeorge.home/about/?ref=page_internal,NA,NA,NA,03/12/2018,
West Michigan Partnership for Children,0,213 SHELDON AVE SE STE 2A GRAND RAPIDS  MI 49503 ,81-0800301,NA,NA,616-281-4601,Human Service,Non profit organization,THE CORPORATION IS ORGANIZED FOR THE PURPOSES OF PROVIDING AND/OR COORDINATING: CHILD WELFARE  SUPPORT SERVICES AND RELATED SERVICES TO CHILDREN AND ADOLESCENTS WHO ARE BEHAVIORALLY OR EMOTIONALLY IMPAIRED AND THEIR FAMILIES; MANAGING AND PROVIDING FOR THE UTILIZATION  QUALITY  AND COSTS OF CHILD WELFARE  CHILD PLACEMENT  JUVENILE JUSTICE  BEHAVIORAL HEALTH CARE FOR CORPORATE  PRIVATE  AND GOVERNMENTAL PURCHASERS AND CONSUMERS OF SERVICES OF THE CORPORATION OR ITS CONTRACTED HUMAN SERVICE PROVIDERS; AND PROVIDING MANAGEMENT SERVICES AND TECHNICAL ASSISTANCE RELATED TO THE PROVISION OF SUCH CARE. THE CORPORATION PROVIDES SUCH SERVICES THROUGH HUMAN SERVICE PROVIDERS  AND IS PRIMARILY A VEHICLE FOR COORDINATION OF SERVICES BY THOSE ORGANIZATIONS.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Immigration-Legal-Services/736505106455837,NA,NA,NA,03/12/2018,
Oaktree Academy Inc,0,6498 W DECKER RD LUDINGTON  MI 49431 ,46-5611781,NA,www.oaktree-academy.com,231-845-0220,Human Service,Oaktree Academy is a nonprofit  charitable organization that promotes whole family success through high-quality child care and education services.,Oaktree Academy is a nonprofit  charitable organization that promotes whole family success through high-quality child care and education services in enriching environments where children grow into lifelong learners.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/oaktreeacademyludington/about/?ref=page_internal,NA,NA,NA,03/12/2018,
New Life Thrift Store,0,160 68TH ST SW GRAND RAPIDS  MI 49548 ,38-3690590,NA,WWW.NEWLIFETHRIFTSTORE.ORG,616-534-7134,Human Service,New Life Thrift Store is a non-profit Christ-Centered organization whose mission is to raise money to be gifted to our students at the five South Suburban Christian Schools: Byron Center Christian  Dutton Christian  Legacy Christian  Moline Christian and South Christian High School therein reducing the cost of a Christ-Centered education for generations to come! ???Our daily goal is to provide you  our shopper  with high quality used and new merchandise at great prices!???,THE PROCEEDS OF SALES FROM DONATED GOODS ARE USED TO ASSIST AREA PRIVATE SCHOOLS IN STAFF DEVELOPMENT  TUITION ASSISTANCE  NEW PROGRAMS AND TECHNOLOGY,NA,Photo save,4339 Division Avs. S. Wyoming  Michigan,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/GRnlts/,NA,NA,NA,03/12/2018,
Trillium House,0,PO BOX 7115 MARQUETTE  MI 49855 ,46-3943193,NA,WWW.TRILLIUMHOUSE.ORG,906-264-5026,Human Service,A facility that provides a loving  home-like environment for those in the last weeks and months of life.,TO BUILD AND SUPPORT A FACILITY TO PROVIDE TERMIALLY ILL PEOPLE A SAFE AND SUPPORTIVE LIVING ENVIRONMENT,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://business.facebook.com/pg/trilliumhouse/about/?ref=page_internal,Trillium House does not have any upcoming events.,NA,NA,03/12/2018,
Poverty and Social Reform Institute DBA Leaps and Bounds Family Services,0,8129 Packard Warren  MI 48089 USA,38-2854143,ddorsz@leapsnbounds.org,www.leapsnbounds.org,586-759-3895,Human Service,Welcome to our website. Leaps and Bounds Family Services is a non-profit agency dedicated to improving the lives of children and adults. We provide education programs and services that support families and help children reach their potential and become productive citizens.,Leaps & Bounds Family Services offers programs through Early Learning Community Training (Licensed Day Care providers or friend or family aid)  after-school programs  summer camp  Home visitation (parents with youth 0-5)  and Play and Learn Groups.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/leapsnboundsfamilyservices/about/,30th Anniversary Fundraising Dinner  Thursday  May 3 at 6 PM - 9 PM EDT  8129 Packard Ave  Warren  Michigan 48089,Great Start To Quality Orientation  Friday  March 23 at 9 AM - 5 PM EDT  8129 Packard Ave  Warren  Michigan 48089,PIWI Group  12:30PM  Mar 22  2018  31741 Cyril Ave  Fraser  MI 48026-2600  United States,03/12/2018,
