organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
MICHIGAN STATE UNIVERSITY CRAFTS & CRITTERS 4-H CLUB,0,"320 S STATE ST HARRISVILLE, MI 48740",41-2277155,msue.alcona@county.msu.edu,www.msue.anr.msu.edu,989-724-6478,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Michigan State University SAND LAKE SADDLE SLICKERS,0,"211 W MAIN ST STANTON, MI 48888",42-1670594,msue.montcalm@county.msu.edu,www.msue.anr.msu.edu,989-831-7500,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Michigan State University IONIA COUNTY STILL EXHIBITS DEVELOP,0,"50 E SPRAGUE RD IONIA , MI 48846",42-1727995,msue.ionia@county.msu.edu,www.msue.anr.msu.edu,616-527-5357,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Im Saving Myself,0,"233 MICHIGAN ST BENTON HARBOR , MI 49022",42-1696300,NA,www.imsavingmyself.org,269-934-7764,Youth Development,I???m Saving Myself has provided quality performing arts experiences to youth and young adults using a Youth Development Theory approach.,"Our mission is to utilize the performing arts as a vehicle to address abstinence from sex, drugs, alcoholism, low self-esteem, suicide and abuse.","Students overwhelmingly indicate that it is the music that makes the program attractive and comfortable for them, and that the opportunity to perform  is an exciting, positive experience.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://apps.facebook.com/causes/366945?m=3f1cca43,NA,NA,NA,27/11/2017,
Westland Huskies Corporation,0,"6036 MICHIGAN AVE STE 175 CANTON, MI 48188",47-2392960,NA,NA,NA,Youth Development,Educational Charitable Organization,Youth Development Programs,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/11/2017,
Allegan County Fire Chiefs Association,0,"3342 BLUE STAR HWY SAUGATUCK, MI 49453",47-1547532,NA,NA,NA,Youth Development,Nonprofit Organization,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
FRESH START YOUTH MINISTRIES,0,"230 W 21ST ST HOLLAND, MI 49423",47-2610677,NA,NA,941-746-8132,Youth Development,Nonprofit Organization,Youth Development Programs,NA,Photo save,"1924 30th Ave E Bradenton, Florida 34208",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pages/Fresh-Start-Youth-Ministries/1557739064516984,NA,NA,NA,27/11/2017,
Junius T Boone Foundation,0,"17567 Hubbell St, Detroit, Michigan 48235, United States",47-5131523,jtboonefoundation@gmail.com,www.jtboonefoundation.org,313-330-4031,Youth Development,Nonprofit Organization,"Our mission is to help youth develop their skills by using different programs to gain confidence, educational, and social skills.","We started off hosting workshops, it thought we need more consistence. That is when our all girls mentoring program, Little Girls. Big World. Empowerment Group started. ",Photo save,"14660 SCHAEFER HWY DETROIT, MI 48227",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/jtboonef/,NA,NA,NA,27/11/2017,
Southwest Michigan Youthspark,0,"4465 HEMMINGWAY DR KALAMAZOO, MI 49009",47-4004858,michaelrennerlewis@hotmail.com,www.swmys.org,269-271-7734,Youth Development,"Southwest Michigan YouthSpark launches a new program: Coding for Elementary, targeting, low income elementary schools students in Kalamazoo, MI.","SWMYS, will identify students to participate in unique and carefully chosen experiences that will build their confidence, increase their awareness of personal growth and development, improve their basic knowledge, and expose them to technology-based skills and careers.","To close the digital divide that exists between the youth who ave the access, skills and opportunities to be successful and those who do not, by teaching core academics and computer coding.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/swmysorg/about/?ref=page_internal,NA,NA,NA,27/11/2017,
COMMUNITY ROBOTICS OF METRO DETROIT,0,"3904 CANIFF ST HAMTRAMCK, MI 48212",47-5338854,hello@detroitrobots.org,www.detroitrobots.org,313-744-3216,Youth Development,Community Robotics currently offers traveling STEM education workshops for youth groups.,The mission of Community Robotics of Metro Detroit is to inspire the next generation of engineers by promoting the advancement of knowledge and interest in science and technology through robotics based competitions and educational programs that serve K-12 students.,"Robotics is a concrete and tangible way to build and strengthen cognitive development, as well as other academic areas such as mathematics, engineering, communication skills, strategic thinking and goal-oriented thinking.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/detroitrobots.org/about/?ref=page_internal,NA,NA,NA,27/11/2017,
Creative Solution 4 Public Wellness,0,"200 RIVERFRONT DR DETROIT, MI 48226",47-5486476,chinwe@creativesolutions4pw.org,www.creativesolutions4pw.org,517-410-6876,Youth Development,Creative Solutions for Public Wellness is a public health non-profit organization.,"We specialize in research and recommending public health and wellness policies; we implement data driven initiatives and solutions to populations in need; and we invest time, funding, and resources in empowering disenfranchised communities. ","Program Development and Evaluation and Epidemiology Services. Epidemiology services include design, database development and management, mapping, descriptive analysis, applied regression analysis e.g. (correlation, multiple regression, logistic regression, odds ratio), interpretation and dissemination of results.",Photo save,NA,313-871-3751,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pages/Creative-Solutions-for-Public-Wellness/448846018837104,NA,NA,NA,27/11/2017,
Palanca Leadership,0,"406 VAN BUREN ST SOUTH HAVEN, MI 49090",47-3235482,palancaleadership@gmail.com,www.palancaleadership.com,269-779-1600,Youth Development,Palanca Leadership is a Michigan non profit company serving people are on a growth path and would like assistance defining and focusing their goals.,"An activity filled workshop specifically designed for 14-24 year old age group. Mentors,and selfless service bring focus to life goals and good decisions.",Community Service is fostered as a tool for growth. Participants who complete this workshop will receive a completion certificate to share with future employers.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/Palanca-Leadership-724006524378488/about/?ref=page_internal,NA,NA,NA,27/11/2017,
Thriveology,0,"5800 BISHOP ST DETROIT, MI 48224",47-3269953,info@thriveology.org,www.thriveology.org,313-737-3585,Youth Development,Thriveology is a non-profit organization committed to enhancing the quality of life for youth ages (7-18).,"Thriveology provides enrichment programming that strives to promote self-efficacy, develop resiliency and foster awareness of both self and others. ","To support the mission of Thriveology in growing our community, we invite you to make a financial contribution or donate needed goods or services.",Photo save,"981 Midway Drive Alexandria, Kentucky",859-635-2200,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/thrive4strength/,NA,NA,NA,27/11/2017,
World Pioneers - USA,0,"1673 FERRIS AVE LINCOLN PARK, MI 48146",47-3197514,bottomline@pioneers.org,www.pioneers.org,800.755.7284,Youth Development,Pioneers mobilizes teams to glorify God among unreached peoples by initiating church-planting movements in partnership with local churches.,Pioneers mobilizes teams to glorify God among unreached peoples by initiating church-planting movements in partnership with local churches.,"Pioneers Core Values reflect the passions, practices and personality of its members. Watch this eight-part video series which depicts the values that drive Pioneers to plant churches in the world???s most challenging environments. ",Photo save,"10123 William Carey Dr. Orlando, FL 32832",407.382.6000,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/PioneersUSA,NA,NA,NA,27/11/2017,
Tomorrow Project Inc,0,"33686 BAYVIEW DR CHESTERFIELD, MI 48047",47-5477735,?@thetomorrowprojectinc,www.thetommorowprojectinc.com,NA,Youth Development,Nonprofit Organization,Our goal and purpose at The Tomorrow Project is to educate and provide support for suicide. We are committed to promoting awareness that will Restore Hope,We are committed to promoting awareness that will Restore Hope,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/thetomorrowprojectinc/about/?ref=page_internal,NA,NA,NA,27/11/2017,
We Unite Foundation,0,"3104 Woods Circle Detroit, MI 48207",47-4364185,NA,NA,313-204-2010,Youth Development,"Testing Service, Educational or Personnel.",NA,NA,NA,"11501 PETOSKEY AVE APT 223 DETROIT, MI 48204",NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
Kidz & Company Kidz Club Organization,0,"577 AUBURN AVE PONTIAC, MI 48342",47-4376816,NA,NA,NA,Youth Development,Nonprofit Organization,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
New Life Empowerment Group,0,"21236 LITTLESTONE RD HARPER WOODS, MI 48225",45-2766262,nlempowermentgroup@hotmail.com,www.nlempowermentgroup.org,NA,Youth Development,A mentoring and outreach organization providing services to youth and young adults in the Metro Detroit community.,New Life Empowerment Group is to provide youth and young adults in need of educational,"New Life Empowerment Group is to provide youth and young adults in need of educational, spiritual and social support with the opportunity to learn how to develop the skills and strategies needed to transition into successful adults through mentoring and various outreach activities",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/Newlifegroup/about/?ref=page_internal,NA,NA,NA,27/11/2017,
MICHIGAN STATE UNIVERSITY CRAFTY CRITTERS 4-H BEEF CLUB,0,"S904 US HIGHWAY 41 STEPHENSON , MI 49887",45-0585579,msue.menominee@county.msu.edu,www.msue.anr.msu.edu,906-753-2209,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,906-290-3210,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
